,PRINTER_L31_PROD_ACT_DISP
2026-08-26 21:00:24.840,65709.0
2026-08-26 21:01:24.841,65709.0
2026-08-26 21:02:24.841,65709.0
2026-08-26 21:03:24.841,65709.0
2026-08-26 21:04:24.841,65709.0
2026-08-26 21:05:24.841,65709.0
2026-08-26 21:06:24.841,65709.0
2026-08-26 21:07:24.841,65709.0
2026-08-26 21:08:24.841,78247.0
2026-08-26 21:09:24.841,78247.0
2026-08-26 21:10:24.852,78247.0
2026-08-26 21:11:24.852,78247.0
2026-08-26 21:12:24.852,78247.0
2026-08-26 21:13:24.852,78247.0
2026-08-26 21:14:24.852,78247.0
2026-08-26 21:15:24.853,78247.0
2026-08-26 21:16:24.853,78247.0
2026-08-26 21:17:24.853,78247.0
2026-08-26 21:18:24.853,78247.0
2026-08-26 21:19:24.853,78247.0
2026-08-26 21:20:24.867,78247.0
2026-08-26 21:21:24.867,78247.0
2026-08-26 21:22:24.867,78247.0
2026-08-26 21:23:24.867,91879.0
2026-08-26 21:24:24.867,91879.0
2026-08-26 21:25:24.868,91879.0
2026-08-26 21:26:24.868,91879.0
2026-08-26 21:27:24.868,91879.0
2026-08-26 21:28:24.868,91879.0
2026-08-26 21:29:24.868,91879.0
2026-08-26 21:30:24.879,91879.0
2026-08-26 21:31:24.879,91879.0
2026-08-26 21:32:24.880,91879.0
2026-08-26 21:33:24.880,91879.0
2026-08-26 21:34:24.880,91879.0
2026-08-26 21:35:24.880,91879.0
2026-08-26 21:36:24.880,91879.0
2026-08-26 21:37:24.880,91879.0
2026-08-26 21:38:24.880,104956.0
2026-08-26 21:39:24.880,104956.0
2026-08-26 21:40:24.888,104956.0
2026-08-26 21:41:24.888,104956.0
2026-08-26 21:42:24.889,104956.0
2026-08-26 21:43:24.889,104956.0
2026-08-26 21:44:24.889,104956.0
2026-08-26 21:45:24.889,104956.0
2026-08-26 21:46:24.889,104956.0
2026-08-26 21:47:24.889,104956.0
2026-08-26 21:48:24.889,104956.0
2026-08-26 21:49:24.889,104956.0
2026-08-26 21:50:24.902,104956.0
2026-08-26 21:51:24.903,104956.0
2026-08-26 21:52:24.903,116001.0
2026-08-26 21:53:24.903,116001.0
2026-08-26 21:54:24.903,116001.0
2026-08-26 21:55:24.904,116001.0
2026-08-26 21:56:24.904,116001.0
2026-08-26 21:57:24.904,116001.0
2026-08-26 21:58:24.904,116001.0
2026-08-26 21:59:24.904,116001.0
2026-08-26 22:00:24.916,116001.0
2026-08-26 22:01:24.917,116001.0
2026-08-26 22:02:24.917,116001.0
2026-08-26 22:03:24.917,116001.0
2026-08-26 22:04:24.917,116001.0
2026-08-26 22:05:24.917,116001.0
2026-08-26 22:06:24.917,116001.0
2026-08-26 22:07:24.917,245.0
2026-08-26 22:08:24.917,245.0
2026-08-26 22:09:24.917,245.0
2026-08-26 22:10:24.930,245.0
2026-08-26 22:11:24.930,245.0
2026-08-26 22:12:24.930,245.0
2026-08-26 22:13:24.930,245.0
2026-08-26 22:14:24.931,245.0
2026-08-26 22:15:24.931,245.0
2026-08-26 22:16:24.931,245.0
2026-08-26 22:17:24.931,245.0
2026-08-26 22:18:24.931,245.0
2026-08-26 22:19:24.931,245.0
2026-08-26 22:20:24.938,245.0
2026-08-26 22:21:24.939,245.0
2026-08-26 22:22:24.939,12008.0
2026-08-26 22:23:24.939,12008.0
2026-08-26 22:24:24.939,12008.0
2026-08-26 22:25:24.939,12008.0
2026-08-26 22:26:24.939,12008.0
2026-08-26 22:27:24.939,12008.0
2026-08-26 22:28:24.939,12008.0
2026-08-26 22:29:24.940,12008.0
2026-08-26 22:30:24.955,12008.0
2026-08-26 22:31:24.955,12008.0
2026-08-26 22:32:24.955,12008.0
2026-08-26 22:33:24.956,12008.0
2026-08-26 22:34:24.956,12008.0
2026-08-26 22:35:24.956,12008.0
2026-08-26 22:36:24.956,12008.0
2026-08-26 22:37:24.956,20209.0
2026-08-26 22:38:24.956,20209.0
2026-08-26 22:39:24.956,20209.0
2026-08-26 22:40:24.965,20209.0
2026-08-26 22:41:24.965,20209.0
2026-08-26 22:42:24.966,20209.0
2026-08-26 22:43:24.966,20209.0
2026-08-26 22:44:24.966,20209.0
2026-08-26 22:45:24.966,20209.0
2026-08-26 22:46:24.967,20209.0
2026-08-26 22:47:24.967,20209.0
2026-08-26 22:48:24.967,20209.0
2026-08-26 22:49:24.967,20209.0
2026-08-26 22:50:24.981,20209.0
2026-08-26 22:51:24.981,20209.0
2026-08-26 22:52:24.981,33000.0
2026-08-26 22:53:24.981,33000.0
2026-08-26 22:54:24.981,33000.0
2026-08-26 22:55:24.981,33000.0
2026-08-26 22:56:24.981,33000.0
2026-08-26 22:57:24.981,33000.0
2026-08-26 22:58:24.982,33000.0
2026-08-26 22:59:24.982,33000.0
2026-08-26 23:00:24.991,33000.0
2026-08-26 23:01:24.991,33000.0
2026-08-26 23:02:24.992,33000.0
2026-08-26 23:03:24.992,33000.0
2026-08-26 23:04:24.992,33000.0
2026-08-26 23:05:24.992,33000.0
2026-08-26 23:06:24.992,33000.0
2026-08-26 23:07:24.992,39630.0
2026-08-26 23:08:24.992,39630.0
2026-08-26 23:09:24.992,39630.0
2026-08-26 23:10:25.006,39630.0
2026-08-26 23:11:25.006,39630.0
2026-08-26 23:12:25.006,39630.0
2026-08-26 23:13:25.007,39630.0
2026-08-26 23:14:25.007,39630.0
2026-08-26 23:15:25.007,39630.0
2026-08-26 23:16:25.007,39630.0
2026-08-26 23:17:25.007,39630.0
2026-08-26 23:18:25.007,39630.0
2026-08-26 23:19:25.007,39630.0
2026-08-26 23:20:25.018,39630.0
2026-08-26 23:21:25.018,39630.0
2026-08-26 23:22:25.018,51757.0
2026-08-26 23:23:25.018,51757.0
2026-08-26 23:24:25.019,51757.0
2026-08-26 23:25:25.019,51757.0
2026-08-26 23:26:25.019,51757.0
