,MINSTER_L3_GOLPES_TURNO_ACT_DISP
2026-08-24 11:52:34.078,5987.0
2026-08-24 11:53:34.078,5987.0
2026-08-24 11:54:34.078,5987.0
2026-08-24 11:55:34.078,5987.0
2026-08-24 11:56:34.079,5987.0
2026-08-24 11:57:34.079,5987.0
2026-08-24 11:58:34.079,5987.0
2026-08-24 11:59:34.079,5987.0
2026-08-24 12:00:34.092,5987.0
2026-08-24 12:01:34.092,5987.0
2026-08-24 12:02:34.092,7718.0
2026-08-24 12:03:34.092,7718.0
2026-08-24 12:04:34.093,7718.0
2026-08-24 12:05:34.093,7718.0
2026-08-24 12:06:34.093,7718.0
2026-08-24 12:07:34.093,7718.0
2026-08-24 12:08:34.093,7718.0
2026-08-24 12:09:34.094,7718.0
2026-08-24 12:10:34.105,7718.0
2026-08-24 12:11:34.105,7718.0
2026-08-24 12:12:34.105,7718.0
2026-08-24 12:13:34.106,7718.0
2026-08-24 12:14:34.106,7718.0
2026-08-24 12:15:34.106,7718.0
2026-08-24 12:16:34.106,7718.0
2026-08-24 12:17:34.106,9094.0
2026-08-24 12:18:34.106,9094.0
2026-08-24 12:19:34.106,9094.0
2026-08-24 12:20:34.120,9094.0
2026-08-24 12:21:34.120,9094.0
2026-08-24 12:22:34.120,9094.0
2026-08-24 12:23:34.120,9094.0
2026-08-24 12:24:34.120,9094.0
2026-08-24 12:25:34.120,9094.0
2026-08-24 12:26:34.120,9094.0
2026-08-24 12:27:34.121,9094.0
2026-08-24 12:28:34.121,9094.0
2026-08-24 12:29:34.121,9094.0
2026-08-24 12:30:34.128,9094.0
2026-08-24 12:31:34.129,9094.0
2026-08-24 12:32:34.129,9094.0
2026-08-24 12:33:34.129,9094.0
2026-08-24 12:34:34.129,9094.0
2026-08-24 12:35:34.129,9094.0
2026-08-24 12:36:34.129,9094.0
2026-08-24 12:37:34.129,9094.0
2026-08-24 12:38:34.129,9094.0
2026-08-24 12:39:34.129,9094.0
2026-08-24 12:40:34.145,9094.0
2026-08-24 12:41:34.145,9094.0
2026-08-24 12:42:34.145,9094.0
2026-08-24 12:43:34.145,9094.0
2026-08-24 12:44:34.145,9094.0
2026-08-24 12:45:34.145,9094.0
2026-08-24 12:46:34.145,9094.0
2026-08-24 12:47:34.146,11055.0
2026-08-24 12:48:34.146,11055.0
2026-08-24 12:49:34.146,11055.0
2026-08-24 12:50:34.155,11055.0
2026-08-24 12:51:34.155,11055.0
2026-08-24 12:52:34.155,11055.0
2026-08-24 12:53:34.156,11055.0
2026-08-24 12:54:34.156,11055.0
2026-08-24 12:55:34.156,11055.0
2026-08-24 12:56:34.156,11055.0
2026-08-24 12:57:34.156,11055.0
2026-08-24 12:58:34.156,11055.0
2026-08-24 12:59:34.156,11055.0
2026-08-24 13:00:34.169,11055.0
2026-08-24 13:01:34.169,11055.0
2026-08-24 13:02:34.169,13061.0
2026-08-24 13:03:34.170,13061.0
2026-08-24 13:04:34.170,13061.0
2026-08-24 13:05:34.170,13061.0
2026-08-24 13:06:34.170,13061.0
2026-08-24 13:07:34.170,13061.0
2026-08-24 13:08:34.171,13061.0
2026-08-24 13:09:34.171,13061.0
2026-08-24 13:10:34.179,13061.0
2026-08-24 13:11:34.179,13061.0
2026-08-24 13:12:34.179,13061.0
2026-08-24 13:13:34.179,13061.0
2026-08-24 13:14:34.180,13061.0
2026-08-24 13:15:34.180,13061.0
2026-08-24 13:16:34.180,13061.0
2026-08-24 13:17:34.180,13276.0
2026-08-24 13:18:34.180,13276.0
2026-08-24 13:19:34.180,13276.0
2026-08-24 13:20:34.187,13276.0
2026-08-24 13:21:34.187,13276.0
2026-08-24 13:22:34.187,13276.0
2026-08-24 13:23:34.187,13276.0
2026-08-24 13:24:34.187,13276.0
2026-08-24 13:25:34.187,13276.0
2026-08-24 13:26:34.188,13276.0
2026-08-24 13:27:34.188,13276.0
2026-08-24 13:28:34.188,13276.0
2026-08-24 13:29:34.188,13276.0
2026-08-24 13:30:34.210,13276.0
2026-08-24 13:31:34.210,13276.0
2026-08-24 13:32:34.210,15015.0
2026-08-24 13:33:34.210,15015.0
2026-08-24 13:34:34.210,15015.0
2026-08-24 13:35:34.211,15015.0
2026-08-24 13:36:34.211,15015.0
2026-08-24 13:37:34.211,15015.0
2026-08-24 13:38:34.211,15015.0
2026-08-24 13:39:34.211,15015.0
2026-08-24 13:40:34.222,15015.0
2026-08-24 13:41:34.222,15015.0
2026-08-24 13:42:34.223,15015.0
2026-08-24 13:43:34.223,15015.0
2026-08-24 13:44:34.223,15015.0
2026-08-24 13:45:34.223,15015.0
2026-08-24 13:46:34.223,17140.0
2026-08-24 13:47:34.223,17140.0
2026-08-24 13:48:34.223,17140.0
2026-08-24 13:49:34.223,17140.0
2026-08-24 13:50:34.236,17140.0
2026-08-24 13:51:34.236,17140.0
2026-08-24 13:52:34.236,17140.0
2026-08-24 13:53:34.236,17140.0
2026-08-24 13:54:34.236,17140.0
2026-08-24 13:55:34.236,17140.0
2026-08-24 13:56:34.236,17140.0
2026-08-24 13:57:34.236,17140.0
2026-08-24 13:58:34.236,17140.0
2026-08-24 13:59:34.236,17140.0
2026-08-24 14:00:34.247,17140.0
2026-08-24 14:01:34.247,17579.0
2026-08-24 14:02:34.247,17579.0
2026-08-24 14:03:34.247,17579.0
2026-08-24 14:04:34.247,17579.0
2026-08-24 14:05:34.247,17579.0
2026-08-24 14:06:34.247,17579.0
2026-08-24 14:07:34.247,17579.0
2026-08-24 14:08:34.248,17579.0
2026-08-24 14:09:34.248,17579.0
2026-08-24 14:10:34.261,17579.0
2026-08-24 14:11:34.261,17579.0
2026-08-24 14:12:34.261,17579.0
2026-08-24 14:13:34.261,17579.0
2026-08-24 14:14:34.261,17579.0
2026-08-24 14:15:34.261,17579.0
2026-08-24 14:16:34.261,17579.0
2026-08-24 14:17:34.261,17579.0
2026-08-24 14:18:34.261,17579.0
2026-08-24 14:19:34.262,17579.0
2026-08-24 14:20:34.275,17579.0
2026-08-24 14:21:34.275,17579.0
2026-08-24 14:22:34.275,17579.0
2026-08-24 14:23:34.275,17579.0
2026-08-24 14:24:34.275,17579.0
2026-08-24 19:43:36.800,-1001.0
2026-08-24 19:45:36.800,17579.0
2026-08-24 19:46:36.800,17579.0
2026-08-24 19:47:36.800,17579.0
2026-08-24 19:48:36.800,17579.0
2026-08-24 19:49:36.800,17579.0
2026-08-24 19:50:36.808,17579.0
2026-08-24 19:51:36.809,17579.0
2026-08-24 19:52:36.809,17579.0
2026-08-24 19:53:36.809,17579.0
2026-08-24 19:54:36.809,17579.0
2026-08-24 19:55:36.809,17579.0
2026-08-24 19:56:36.809,17579.0
2026-08-24 19:57:36.809,17579.0
2026-08-24 19:58:36.809,17580.0
2026-08-24 19:59:36.809,17580.0
2026-08-24 20:00:36.821,17580.0
2026-08-24 20:01:36.821,17580.0
2026-08-24 20:02:36.821,17580.0
2026-08-24 20:03:36.822,17580.0
2026-08-24 20:04:36.822,17580.0
2026-08-24 20:05:36.822,17580.0
2026-08-24 20:06:36.822,17580.0
2026-08-24 20:07:36.822,17580.0
2026-08-24 20:08:36.822,17580.0
2026-08-24 20:09:36.822,17580.0
2026-08-24 20:10:36.836,17580.0
2026-08-24 20:11:36.836,17580.0
2026-08-24 20:12:36.837,17580.0
2026-08-24 20:13:36.837,17580.0
2026-08-24 20:14:36.837,17580.0
2026-08-24 20:15:36.837,17580.0
2026-08-24 20:16:36.837,17580.0
2026-08-24 20:17:36.837,17580.0
2026-08-24 20:18:36.837,17580.0
2026-08-24 20:19:36.837,17580.0
2026-08-24 20:20:36.847,17580.0
2026-08-24 20:21:36.847,17580.0
2026-08-24 20:22:36.847,17580.0
2026-08-24 20:23:36.847,17580.0
2026-08-24 20:24:36.847,17580.0
2026-08-24 20:25:36.847,17580.0
2026-08-24 20:26:36.847,17580.0
2026-08-24 20:27:36.847,17580.0
2026-08-24 20:28:36.847,17788.0
2026-08-24 20:29:36.847,17788.0
2026-08-24 20:30:36.862,17788.0
2026-08-24 20:31:36.862,17788.0
2026-08-24 20:32:36.862,17788.0
2026-08-24 20:33:36.862,17788.0
2026-08-24 20:34:36.862,17788.0
2026-08-24 20:35:36.862,17788.0
2026-08-24 20:36:36.862,17788.0
2026-08-24 20:37:36.862,17788.0
2026-08-24 20:38:36.863,17788.0
2026-08-24 20:39:36.863,17788.0
2026-08-24 20:40:36.874,17788.0
2026-08-24 20:41:36.874,17788.0
2026-08-24 20:42:36.874,17788.0
2026-08-24 20:43:36.875,19814.0
2026-08-24 20:44:36.875,19814.0
2026-08-24 20:45:36.875,19814.0
2026-08-24 20:46:36.875,19814.0
2026-08-24 20:47:36.875,19814.0
2026-08-24 20:48:36.875,19814.0
2026-08-24 20:49:36.875,19814.0
2026-08-24 20:50:36.887,19814.0
2026-08-24 20:51:36.887,19814.0
2026-08-24 20:52:36.887,19814.0
2026-08-24 20:53:36.887,19814.0
